Title,Choice1,Choice2,Choice3,Choice4,CorrectChoice
"Vào thời gian đầu của văn hóa Đông Sơn, công cụ lao động phổ biến là gì?",Đá.,Sắt.,Đồng thau.,"Tre, gỗ.",3
Quốc gia cổ Văn Lang – Âu Lạc được hình thành trên cơ sở của nền văn hóa cổ nào dưới đây? ,Sa Huỳnh.,Đồng Nai.,Ốc Eo.,Đông Sơn.,4
Kinh đô của nhà nước Văn Lang đặt ở đâu?,"Luy Lâu (Thuận Thành, Bắc Ninh).",Thăng Long (Hà Nội).,"Cổ Loa (Đông Anh, Hà Nội).","Bạch Hạc (Việt Trì, Vĩnh Phú).",4
Kinh đô của nước Âu Lạc đặt ở đâu?,"Luy Lâu (Thuận Thành, Bắc Ninh).",Thăng Long (Hà Nội).,"Cổ Loa (Đông Anh, Hà Nội).","Bạch Hạc (Việt Trì, Vĩnh Phú).",3
"Cả nước Văn Lang chia làm 15 bộ, đứng đầu mỗi bộ là ai?",Lạc hầu.,Lạc tướng.,Bồ chính.,Quan Lang.,2
Các tầng lớp chính trong xã hội quốc gia Văn Lang – Âu Lạc là:,"Vua, quan lại, tăng lữ.","Vua, quý tộc, dân tự do, nô tì.","Vua, tăng lữ, nông dân tự canh.","Vua, địa chủ và nông nô.",2
Ngành kinh tế chủ yếu của cư dân Văn Lang – Âu Lạc là:,Du mục.,Trồng lúa nước.,Thủ công nghiệp.,Thương nghiệp.,2
Quốc gia cổ Cham - pa được hình thành trên cơ sở của nền văn hóa cổ nào dưới đây?,Sa Huỳnh.,Đồng Nai.,Ốc Eo.,Đông Sơn.,1
Ngành kinh tế chủ yếu của cư dân Chăm pa là:,Du mục.,Trồng lúa nước.,Thủ công nghiệp.,Thương nghiệp.,2
Quốc gia cổ Phù Nam được hình thành trên cơ sở của nền văn hóa cổ nào dưới đây?,Sa Huỳnh.,Đồng Nai.,Ốc Eo.,Đông Sơn.,3
"Ở thời kỳ nguyên thủy, công cụ lao động bằng kim loại xuất hiện đã tạo điều kiện cho cư dân trên đất nước ta:",Phát triển nghề nông trồng lúa nước.,Sống định cư trong các bản làng.,Mở rộng địa bàn cư trú.,Sử dụng hợp lý các loại công cụ lao động.,1
Sự phân công lao động giữ nông nghiệp và thủ công nghiệp đã xuất hiện vào thời kì nào?,Thời kỳ văn hoá Đông Sơn.,Thời kỳ văn hoá Sa Huỳnh.,Thời kỳ văn hoá Phùng Nguyên.,Thời kỳ văn hóa Ngườm.,1
Tiền đề dẫn đến sự ra đời nhà nước đầu tiên ở nước ta là:,"Chống ngoại xâm, quản lý xã hội.",Trị thủy.,Phân chia giai cấp.,"Trị thủy, phân chia giai cấp, chống ngoại xâm.",4
Một trong những tín ngưỡng chủ yếu và phổ biến của cư dân Văn Lang – Âu Lạc là.,Thờ cúng tổ tiên. ,Sùng bái tự nhiên.,Thờ thần mặt trời.,Thờ thần núi.,1
Nhà nước đầu tiên trong lịch sử của nước ta là?, Văn Lang.,Âu Lạc., Lạc Việt.,Bách Việt.,1
Một trong những nguyên nhân quan trọng khiến cư dân Văn Lang – Âu Lạc chuyển xuống sống tập trung ở đồng bằng là:,"Đất đai màu mở, dễ canh tác.",Giao thông thuận tiện,Công tác thủy lợi thuận tiện.,Để trồng trọt và chăn nuôi.,1
Yếu tố nào sau đây không phải là tiền đề dẫn đến sự ra đời của nhà nước Văn Lang:, Chống ngoại xâm.,Bảo vệ sản xuất nông nghiệp.,Xã hội phân hóa sâu sắc.,Nhu cầu trị thủy.,2
Đặc điểm của nhà nước Văn Lang - Âu Lạc là:,"Đã hoàn chỉnh, do vua Hùng đứng đầu.","Khá hoàn chỉnh, đứng đầu là vua Hùng.","Sơ khai, đơn giản nhưng đây là tổ chức nhà nước của một quốc gia.",Nhà nước ra đời sớm nhất ở khu vực châu Á.,3
"Sau khi chiếm được Âu Lạc, nhà Triệu chia nước ta thành 2 quận là:",Giao Chỉ và Cửu Chân.,Nhật Nam và Giao Chỉ.,Cửu Chân và Nhật Nam.,Giao Chỉ và Tỉ Ảnh.,1
"Sau khi chiếm được Âu Lạc, nhà Triệu chia thành 2 quận và sáp nhập vào quốc gia nào?",Trung Quốc.,Văn Lang.,Nam Việt.,An Nam.,3
"Dưới thời kỳ Bắc thuộc, các triều đại phong kiến phương Bắc đã truyền bá tư 
tưởng nào vào nước ta?",Nho giáo.,Đạo giáo.,Phật giáo.,Thiên chúa giáo.,1
"Dưới thời Bắc thuộc, Nho giáo có ảnh hưởng như thế nào đối với nước ta?",Trở thành quốc giáo.,Trở thành tư tưởng chính thống.,"Ảnh hưởng đến một số vùng trung tâm châu, quận.",Không hề ảnh hưởng gì cả.,3
Cuộc khởi nghĩa đầu tiên của nhân dân Âu Lạc chống lại ách đô hộ của bọn phong kiến phương Bắc là:,Khởi nghĩa Bà Triệu.,Khởi nghĩa Lý Bí.,Khởi nghĩa Hai Bà Trưng.,Khởi nghĩa Phùng Hưng.,3
Khởi nghĩa của Hai Bà Trưng đánh bại quân xâm lược:,Nhà Hán.,Nhà Tùy.,Nhà Ngô.,Nhà Lương.,1
"Sau khi lên làm vua, Lí Bí đặt quốc hiệu nước ta là:",Đại Việt.,Nam Việt.,Vạn Xuân.,Đại Cồ Việt.,3
Sự kiện lịch sử nào ở thế kỉ X đánh dấu sự chấm dứt thời kì đô hộ của phong kiến phương Bắc đưa nước ta bước vào thời kì độc lập lâu dài?,Khởi nghĩa của Khúc Thừa Dụ năm 905.,"Khúc Hạo cải cách hành chính, xây dựng quyền tự chủ năm 907.",Chiến thắng Bạch Đằng của Ngô Quyền năm 938.,Ngô Quyền xưng vương lập ra nhà Ngô năm 939.,3
Điểm độc đáo của cuộc khởi nghĩa Hai Bà Trưng là:,Có sự liên kết với các tù trưởng thiểu số.,Được đông đảo nhân dân tham gia.,Lực lượng tượng binh giữ vai trò tiên phong.,nhiều nữ tướng tham gia chỉ huy cuộc khởi nghĩa.,4
"Dưới thời nhà Đinh, nước ta đóng đô ở đâu?",Đại La.,Cổ Loa.,Thăng Long.,Hoa Lư.,4
Từ năm 1054 quốc hiệu nước ta là:,Đại Việt.,Đại Cồ Việt.,Đại Nam.,Đại La.,1
Quân đội ta trong các thế kỉ từ thế kỉ X đến thế kỉ XV được tuyển theo chế độ,Con em trong hoàng tộc.,Con nhà dân nghèo.,Ngụ binh ư nông.,"Tù binh, dân nghèo bị bắt.",3
